,sentiment,text
434800,0,I want to play The Sims 3 
434850,0,awake at 3:00 had about 2 hours sleep.... complete gayness 
434900,0,@LynnK10 No kidding! If we can drive in one run himself that'll be one more than we've had in the last two games. Sad 
434950,0,"my granddaughter so hurt, daddy canceled summer visitation at 10 pm last night supposed to start today 9am. he's in TN we're  in  OH. "
435000,0,"It would appear that, yes, I was unwittingly enticed into another long walk. Ain't moving an inch tomorrow. Still don't have any whisky. "
435050,0,is home &amp;&amp; tired  x
435100,0,@boechat que chato 
435150,0,passengers who are still lost at sea.. 
435200,0,"In a semi-state of sadness, I don't have Summer Jam tickets "
435250,0,"Shop shop shop - just weekly groceries, though...how boring.  "
435300,0,kc may isang confirmed case ng h1n1 from Feu east asia... aray 
435350,0,"windows7 starts to crash alot, fails loading, load prog/even normal win expl very slow since yesterday "
435400,0,Off to Toga for some bike maintenance.  Shredded tire 
435450,0,@shecaptain I used to love Dinotopia!  D;  I miss telly shows I used to watch 
435500,0,just studing again... 
435550,0,Roger!!!! What happened to DelPotro??? 
435600,0,Trying to study business for the tuesday 
435650,0,It's totally going to rain today 
435700,0,CTs in 2 days!! 
435750,0,Heading out of 3 hr. fix gear ride in a bit. I love this bike for workouts with some hills thrown in also. Over slept for the WCC ride! 
435800,0,I'm in so much pain from my boob job! 
435850,0,@valenzi dont rub it in my face 
435900,0,WOW...i just lost a follower idk why... 
435950,0,Trying to create a song about quotes. I'm no Hannah Montana 
436000,0,@trvsbrkr i hope the lil one feels better 
436050,0,is dreading the next three days.... 
436100,0,Up at the crack of dawn again tomorrow.......Back to School   Roll on the Summer Holidays
436150,0,@SFrankenstein  I watched the video earlier! But i didn't know what he was saying 
436200,0,@jaecka Ha ha. My son just points at me and says &quot;poo head&quot;. In fact that's all he calls me these days 
436250,0,"time for another shitty, boring Sunday. "
436300,0,Worrying about my AC!  plz b ok.
436350,0,@JessicaNorin yeah..  wierd that it doesnt work on vista :S
436400,0,so bored  :0( 
436450,0,is gonna miss Matthew Wright shakin it with the Getaway Plan 
436500,0,"In 3 days, i will be twitter-less "
436550,0,trying to figure out iDvd to burn some pictures for my mother in law! why can't i just simply burn a bunch? magic iDvd my $%^!!! Grrr! 
436600,0,ok.. time for the pub and some food... i logged KO for 2 mins and have lost the will to play  that deeply saddens me!!
436650,0,not ready for tomorrow morning 
436700,0,@ ashchili you should both stay cuz my little sisters are out of town and i'm all alone 
436750,0,freaking out! AND the bloody printer credit machine swallowed my money  bad times
436800,0,is heading to Sunday Family Lunch. minus Caleb. 
436850,0,@Fairy_Claudine i miss all the good stuff 
436900,0,Losing faith... 
436950,0,It's beautiful outside and I'm stuck in here working 
437000,0,@SiriuslySmitten I cried on the flight back home.  I miss you and love you too!
437050,0,is watching the *surprise* hailstorm pounding her flowers...  
437100,0,good night. i must get up early..! i hate monday 
437150,0,heheh twittering from my phone; i have no life. ekornz 
437200,0,@tommcfly it's @keren4562 im sorry TOM! plz don't be mad at me! i did'nt ment. i just wanted you to answer did'nt ment to insult u! 
437250,0,i have a head ache 
437300,0,"@hikaraseru Awww. Would be awesome if you could, but yeah travel expenses!  Wish we were capable of teleportation."
437350,0,my stomach was hurting 
437400,0,@JuseDayne I never hide..u guys are always on the other side of the water.. 
437450,0,@aplusk http://twitpic.com/2of3d - Your wife is ver very much beautiful omg 
437500,0,Just woke up it's 12:34 pm and there was only one update on @perezhilton .com 
437550,0,i cried last night  cause i miss kahel so much ! i remembered all the awesome memories. 
437600,0,@jadoredaff wazz goodie daff long time no see or speak 
437650,0,Omg. I think I got my doggy sick!  Can that happen??
437700,0,i have a test at school  tomorrow  i hate tests
437750,0,I'm too tireddd 
437800,0,"Has not tweeted nearly enough with @Gemeri being around, will tweet more now she's gone  Work in 20 mins boo. Patapon is fucking awesome!!"
437850,0,Oldie ex-working collie has come in in a right state.   Hope he picks up.  Kennels no good for elderly dogs.
437900,0,Headache sidelines me. No air show 
437950,0,"@Jules75 thanks, love the necklace, Ive been trawling ibiza for a new 1 but with no luck  its gorgeous here, bet u cnt wait til thailand!"
438000,0,@Burnt_feet I love favourite-ing too... But I forget to sometimes 
438050,0,@astewart_1990 nope  I'm unemployable :|
438100,0,Ew. Just had to make myself throw up four times.... This is why I hate drinking!  I'm so tired but too nauseous to go back to sleep!
438150,0,food time! my tummy is empty. 
438200,0,I want to eat something! But it's dark outside. So I shall resist 
438250,0,"If I felt ill before an afternoon kip, I feel worse now, headache will not budge "
438300,0,@lemonbrook bad timing I found my bludy crystallography notes just now  what a n00b hehe
438350,0,i'm loosing followers!!!!!!!!!!! used to be 21 now its 18!!!!!!!!!!! I&quot;M SOOOO SAD    !!!!!!!!!!!!!!!!
438400,0,Heading to Giant Eagle for 'comfort food' for my patients family. 
438450,0,I poisoned myself last nite smh. I drank some tea last nite right b4 i went to sleep...but didn't no it had Caffeine in it. Barely slept 
438500,0,wishes it would stop raining so we could go get our engagement pics done 
438550,0,@mspimpcess i wanna be there 
438600,0,Video: give me her voice  http://tumblr.com/xf81z5733
438650,0,@fyrestorme Fully? Hell no. I don't even think halfy. 
438700,0,"Ah im so jealous, im gonna be stuck inside at work all day "
438750,0,I had a bad dream  I hate getting dese dreams again.
438800,0,"No longer feel sick, just up from a long sleep, but im still not better "
438850,0,@makenzicabrera i wish you could too 
438900,0,@Pheraya Don't think so  Going into Conor &amp; Jinx withdrawal. Shall bring laptop tonight! Will get there 7.30ish. Shall I bring anything?
438950,0,jen forgot about me 
439000,0,"Ah crap, Germany's pirate party didn't make it  Well, let's wait for the next election"
439050,0,feels a bit dejected and is worried slightly 
439100,0,"Going back to Austin...in an hour. So, I should be there by 7 or 8. Yay for going back boo for so much driving "
439150,0,http://twitpic.com/6u8ht - mr bump is a keychain.... 
439200,0,"I miss sunshine!! Rite now, i usually wake up at 4 o'clock above. Last morning, i woke up at 6 pm above! Woah! "
439250,0,@Sheindie  its saying it doesnt exist 
439300,0,@rebecca_eloise LOL i know. but it means my hashtag was inccorect 
439350,0,"@taart Yeah i know  ,,, i need to shopping.  why are the shops closed on suday "
439400,0,Oh dear leg stump as well 
439450,0,@csquaredsmiles no....... i'm allergic to any of the ones he could afford. 
439500,0,not feeling my best 
439550,0,"Due to thunderstorms in Munich, my flight from Cologne to MUC is delayed 1 hour. Will be getting home later than expected. "
439600,0,back to the army buzz kill 
439650,0,Was stood up for breakfast!  but had the best omlet ever! Asparagus and proscuitto!
439700,0,@Woth2982 I am sooo tired of it. Atl and VA were both rainy messes. I heard the place in JB isn't covered. 
439750,0,"@hthrb2 Oh yes, of course. We've been to see grandma today. She's kinda distant, can't seem to follow...  Sis is leaving again soon too."
439800,0,"the link didn't work  well, here's the new one TO MY FCD VIDEO: http://bit.ly/fDegP"
439850,0,@angiefacee @hbeci HIIIIIIIIIII  niddy3 is bored 
439900,0,Uhohs... I'm feeling the start of a flare up 
439950,0,Has a large hand and nothing to spank 
440000,0,whhhyyy does it have to be sunday already!!     that was quick
440050,0,@EdiReaves he sent it to me too why are people mad? We don't wear those things everyday. 
440100,0,why wont twitter work with my phone 
440150,0,@Aimee_B_Loved I fear I may be one of said bots. 
440200,0,8:00pm! hmmm. tomorow is so near! nooooooo please! 
440250,0,@itsadribaby what's wrong 
440300,0,"girlicious new single, new music video and world tour ? omg yeaah brazil! but it will not be the same without tiff "
440350,0,@heymeghan I KNOW. I'M SO FREAKING MAD. i was going to ask to get it today too  FMLLLLL.
440400,0,Gotta work on math 
440450,0, im jealousssssss lol..layed up in bed doing h.w..
440500,0,Sniff... why can I never get tickets from seefilmfirst 
440550,0,"$250 ticket at bearpaw, ah boo   oh well, new landing new start baby!  Bottles up"
440600,0,Find out more about dh's diagnosis on 17th. Still more than a week to go of just not knowing what to think 
440650,0,This kid just came by my house and asked me if i needed my lawn mowed. I said no and now i feel bad  #dfizzy
440700,0,"@bubblything Dear, I'm so sorry, I forgot that you don't understand my german &quot;goodbye&quot;  How are you?"
440750,0,@SnippyBitch Very probably his metabolism is still good. But booze and not going out the house every day doesn't help 
440800,0,"juss waking up...ugh, so lAzy  "
440850,0,@JeffWalker any non-fiction book to recommend? it's pretty boring down here in Malaysia. 
440900,0,@EMMAKATE76 yeah kinda im tired 
440950,0,@allieverhad just &quot;projections&quot; - whatever this means exactly. it's on bbc 2 from 7.30pm. apparently nick griffin may win a seat 
441000,0,@summerislovey hopefully. no one wants to hire me 
441050,0,I think summer is over already 
441100,0,"My head is killing me right now :s, pills are not working for me anymore "
441150,0,I'm sweating like crazy... took some pills against the headache...hope I recover soon... urh... so annoying 
441200,0,"Followers, why have you(pl) deserted me? "
441250,0,"I ate too much yummie food, can't move anymore.. haha! Tummyache now "
441300,0,@fafinettex3 lol @ fml cause mac pro is closed on sunday. i seen that on someones vid  i wouldve been mad too
441350,0,@heylady WHERE ARE YOUU 
441400,0,Really bad accident on 75  hope everyone is ok
441450,0,I am in a sea of people at the festival. Soo crowded. I wish I could use twitpic to show you 
441500,0,Oh gosh...I love alcohol at the time but when you wake up the next day you just feel like poo! 
441550,0,"Surprised at how well the car is doing so far (touch wood), has made it to Stafford. Had to abandon my Ikea bookcase though "
441600,0,"@BlessedNest Awh, Happy Birthday to your baby!  My baby turned 4 yo last Wednesday.  *sniff* *sniff*"
441650,0,DAMN I WISH I WOULDVE GONE 2 SUMMER JAM 
441700,0,my ipod won't sync 
441750,0,my bums really numb and I wana give my girl a cuddle 
441800,0,Sunshine gone. 
441850,0,Mel&amp;i think its creepy how AT&amp;T online has pictures of every phone we use next to our number...they know 
441900,0,Um really it's JUNE!!!!!! This is not right  http://twitpic.com/6ugyp
441950,0,@MariahUKFan lol ok man you sleep ALOT! Lol ya im good so happy that maddie and me got to talk but a little worried for queen  shes sad
442000,0,"@BigSMO oh nice, never ask us if we want to come "
442050,0,"hopes her mom finally gets a dog, but i have to answer kgb texts so i didnt get to go to the humane society "
442100,0,At church for the da Last tyme in LA til nxt tyme..  
442150,0,@JErroch that so sucks  when did she get diagnosed?
442200,0,Got a nice house warming gift of a 'friends' multi photo frame...not enough friends to fill the pic slots though! 
442250,0,@DebsMadCat i didn't mean to offend her ?? maybe i'll keep quiet 
442300,0,I want a Palm Pre. 
442350,0,I feel like im dying.  and my toilet is too dirty to throw up in.
442400,0,@RealHatter so I'll probably miss you during the days unless i stay home for any reason. 
442450,0,@torturousthings I think my mom might kill me if I don't  Not looking forward to it.
442500,0,Can't open my huggie 
442550,0,Update on @alwyzbye ... She'll have to stay in hosp one more one... She's still bleeding frm surgery 
442600,0,@laerkai my Gam Zeh Ya'avor ring from Israel. I lost it after training. 
442650,0,@KennyCarlile what type of puppies? And that sucks 
442700,0,@Vadiva08 that movie made me cry  
442750,0,@crystal_love yes I've seen it... But it's been a couple of years so I don't remember exactly 
442800,0,@carmenmandy I know...Aparently now they're buying paint and we're having a paint fight...I'm so confuseeeeed!! 
442850,0,is so exhausted on every level...........&amp; missing her bestie 
442900,0,sitting at work bored as hell....i hate my job : sitting at work bored as hell....i hate my job  http://tinyurl.com/o9zljy
442950,0,what I get for staring at a computer screen for 13 years - diminishing vision 
443000,0,had another accident with the knife. I forsee continuity problems. We'll have to incorporate the loss of limbs into the script.  Owey.
443050,0,parents are really annoying.. cant go 2 releves recital now 
443100,0,@MizZLina0 they're following me too  they have an icky picture
443150,0,I have a fractured foot 
443200,0,@coltonlittle I don't know...but I wish it would go away! 
443250,0,Seems to be quite a lot of negativity on here this evening... 
443300,0,is bored there is nothing to do 
443350,0,Barbara Silber  wishing i were in lake placid. http://bit.ly/TKfag
443400,0,I have had a great day watching my talented daughter play footy for her mate's team. They didn't win 
443450,0,soooo wricked     seem my head go to explode
443500,0,"@OnyxWolf I'm so sorry to hear about Hanne!  That never gets any easier, I know. Did you got a new kitten?"
443550,0,@idolan sorry I can't make it... had to take a nap and my day is full otherwise  
443600,0,Me too Stina  but don't worry It's almost time for him to come home. At least you have something to look forward to I don't @stisti
443650,0,@BrandyWandLover Your tweets aren't showing up in my timeline anymore... just my replies tab.   Twitter's being weird
443700,0,i need @nicksantino to help me photoshop 
443750,0,"noooo..., drop by 1  37. kabonfootprint.com"
443800,0,@AngieEdery sorry but i can't go to the movies later 
443850,0,"I  have the cold, it is not fun! "
443900,0,@weller3377 gimme some tips.  I'm foundering at #130.  There are 4 people who have missed a show and have more points than me 
443950,0,holys**t drop by 1  46. seoibiza.com
444000,0,@jamesforlife give me a job at the ttc? So sick of unemployment 
444050,0,is super sad. 
444100,0,@_Mattie_ no  6 more weeks of school UGH. Are u enjoying ur holiday then?
444150,0,Didn't find what I needed at Wal*Mart  But I did get a cute new swimsuit and some floaty things yaay
444200,0,Nothin like hearing Life is a Highway played by guys in kilts at Epcot.... Makes me miss all my fusion guys 
444250,0,@MsBKB damn girl that sounds good...wish i coulda got an invite 
444300,0,@jojo_the_brat I didnt even know you were there.   I'm sorry
444350,0,it looks so nice out! it's no fun spending sunny weekend days at work. 
444400,0,"ughh, pakistan lost. they need to beat holland by a huge margin to get to the super eight! gaaahh "
444450,0,history exam tommorow 
444500,0,Ghey english.  gay candyman. im so tired!
444550,0,Impersonators on Twitter? What could be worse than mis-representation that is dis-representation  Urrggh!
444600,0,I miss the drum circle  but at least there's a shower here
444650,0,"@rgoodchild In my dreams, i all of a sudden appear at Frankfurt airport in Germany. Sounds harmless, but terrible nightmare to me "
444700,0,i want the sims 3 but i haz no money just like i haz no cheezburger... 
444750,0,I don't like goodbye 
444800,0,I just watched one if those poor animal commercials 
444850,0,my aunt has been in the hospital for like 2 or 3 days now 
444900,0,I've just noticed that I have 5 new followers. It won't let me view them from my phone.  Thanks for following guys. You rock!
444950,0,"@centrinoduo91 I'ma gunna get inFamous tomorrow, probs shouldn't like "
445000,0,@jahel i dont...i dont think u do 
445050,0,iScoop chillin off set minus Ali  http://yfrog.com/5jrk4j
445100,0,@Jaynecollinsmac did any of the girls flirt with the blue boys today? and im gutted annie an nick didnt ask @FrankieTheSats my question! 
445150,0,My knee hurt Im getting old 22 is gonna kill me  lol
445200,0,@ross_drew I already have glasses...last eye test i had was about a month ago!! So not that 
445250,0,@SandyLovesMiley hahaha HOMEWORK HOMEWORK AND MORE HOMEWORK  haha and u?
445300,0,"@KyranBracken typed in kyran bracken axel, and nothing came up  anything else 2 try kyran?  x"
445350,0,@KiwiiKink May I ask you if thereÂ´s something wrong??  your tweets sound very sad..
445400,0,is excited for Austin...in like two months. 
445450,0,"Rly need to calibrate my monitors.. I rly think they look like sh*t, but haven't got a calibration-set yet  #isgettingpissedof .."
445500,0,is jealous of europe and their circlesquare shows 
445550,0,Had a fantastic weekend! Too bad it had to end. Redefined the meaning of friendship! Off to Phoenix now 
445600,0,@jaredmaine ...awwwww.. i wanted to go with you.. 
445650,0,"@RAZNKN I had a pit ticket for the burgettstown,PA show and have to miss it since I'm on the west coast "
445700,0,@AmyStrawn Me too! It's just been depressing lately &amp; the tabloid coverage is crazy! 
445750,0,@radishh: same thing happened to me when i fucked up the car. 
445800,0,upset im going to miss the premier of Kendras @KendraWilkinson show  Wish i had cable!
445850,0,"Labour win the north east and one MEP from each Labour, Conservative and Lib Dem. BNP get 5th with 52 thousand votes though "
445900,0,feels like kelly clarkson.  not a good look 
445950,0,@mom2nji  I wish you were coming too!
446000,0,@ASinisterDuck  Have a good time anyway pal  (Y)
446050,0,watching The Notebook. 
446100,0,"@Twiter_ME_This Yeah I have been bad  Been keeping up with my peeps here, but gotta get back to the thread for real!"
446150,0,"Had a bad food day. Am now feeling guilty. Did work off a few calories on the BMX, but that was probably only 2 jaffa cakes "
446200,0,Turnout for #eu09 down an average of 35% in europe and the UK. As a result a strong movement to the right is visible in the results. 
446250,0,@hotforwords http://twitpic.com/6uunh - Darnit  I have no clue...
446300,0,Photo: first blood drawn! i got bloody making bloody marys.  http://tumblr.com/xhg1z6ysj
446350,0,#apprentice . What? No! 
446400,0,ok big brothers on and i dnt have my @koist again 
446450,0,@mileycyrus why is there no scotland date? 
446500,0,@GericaQuinn lol. im srry  haha. and thank you&lt;33
446550,0,@monkeysx hu's nathan kress? sorry cant comment upon that 
446600,0,wow...i go on about musicals more than my gay man....i miss him 
446650,0,@LAM1086 sorry to hear that  I feel your pain. Had one myself today. Feel better soon!
446700,0,@zsbcreations How will Europe manage with so many extreme right parties you mean ? 
446750,0,Tired of being so lonely.  Isn't marriage supposed to take care of that?  
446800,0,"good night everybody! it's 11.12 pm here in norway, and i have school 08.00 am "
446850,0,"Mmmm... Ribs and Chicken Ceasar Salad on order from Traditions Family Restaurant. I would make it myself, but my BBQ is out of gas! "
446900,0,@JasonBradbury only just noticed that Vadim no longer trade! I can't believe I didn't find that out. Harsh times hey  hows your comp?
446950,0,@jordanknight been trying all day but I can't get to the site to vote 
447000,0,"listening to classic rock with @nbscloset doing chingos orders, sry mom &amp; dad doesn't look like were're leaving the house 2day "
447050,0,i just napped for far too long and will pay for it later tonight 
447100,0,Why did my great day have to turn bad!! 
447150,0,Darn it's storming! Perfect sleep weather but I'm not home to sleep 
447200,0,@RivenSky That is a heck of a snack. Beer and candy!  I wish I had some. I am out of both 
447250,0,aiai meu 18 de marÃ§o ;; &lt;3 Missing my boys like hell 
447300,0,Got a new phone.. Really lame. 
447350,0,@callmekiki i'm SO sorry!!!  &lt;3 you too.
447400,0,Studying for Final Exam 
447450,0,"@paulahibner  me either I had a cold too, fucking weather Â¬Â¬"
447500,0,i cant breath outta my nose.......sad face 
447550,0,wow what is with everyone going to ny after i left first ftsk now nick santino. 
447600,0,damn i really wish i would have took that cookies n cream...u think B'll pick it up for me? 
447650,0,megan (1)   deb (1 or 2?)   neal (1) only makes 4... so I guess the game is off ...   -Neal
447700,0,i guess im not hanging with ash? her phone is off. 
447750,0,aww sree is sooo cuteee  !!!! awkk jesus
447800,0,"has landed and is back at home.  and the work clock starts again in just a few measley hours.. tick, tock, tick, tock..."
447850,0,"Working overtime.   oh well  work hard, party harder I guess. !"
447900,0,@emilydee and i was not there  how was it baby?!
447950,0,What's going on with Gmail!? I keep getting &quot;Oops... a server error occurred and your email was not sent. (#102)&quot; Can't Send. Can't Save. 
448000,0,@aquakat37 its true. Natalie is at disneyland. Amanda is at the zoo. You guys are at the mall. I have to clean the house 
448050,0,AHHH i dont no who to vote for 
448100,0,@thattgirldani i didn't get picked..   well i didnt get an email yet so i dont think i did. ugh lameeee ! when did they send you the email
448150,0,feel really worried right now  ughhh
448200,0,Not got many followers 
448250,0,missing someone 
448300,0,"@camisosa i hope so, he'll to be okay!! I love him, so much, i can't stopo crying, I need you bff, i need a hug, and I'M ALONE!!  thx u"
448350,0,@oth123 i HATE studying 
448400,0,@racheliza OH CRAP. I've done that before... I don't know if it's reversible - hopefully someone can help you! 
448450,0,@ChrisEfs im guessing no  x
448500,0,Haha bobby quinn pulls up yelling get the mexican and his awesome dog licks me. I miss mulberry 
448550,0,Someone come make chicky for us  lol
448600,0,@foxspellcaster doesnt that sound rad? theyre no where to be found! 
448650,0,"Nancy says, &quot;no writing on the cat...&quot;  awww.  "
448700,0,Im mad at Austin.HA! 
448750,0,Time to dream about the birds &amp; the bees.... this is going to be a week of hell!  Night everyone!
448800,0,@heavyheartthat http://bit.ly/160Zgx  This one. It's hard. 
448850,0,Now I have conjunctivitis 
448900,0,"Sigh, life. Plus my period is making me all sad  I feel like crying off and on.. have since I woke up."
448950,0,Had a pretty crap day @ work 2day 
449000,0,"@FunkyKiwi Usually sleeps what you need but then they keep you awake.  Better luck this time, nighty night. *HUG* xx"
449050,0,"@charlieb81 On a serious point, I think a lot of us are rather stunned at how the racist facists are gaining support and votes in the UK "
449100,0,AWWWWWW Izzie and Alex are getting married. This ends badly doesn't it? 
449150,0,California tortilla is the best! Don't want the weekend to end 
449200,0,@PENLDN Like a week ago @antsmoove was getting mad b/c he was being ignored and I'm going through the same thing  lol
449250,0,is totally ill and doesnt want to be 
449300,0,Catfish are so cute! Too bad my grandpas gonna cook him 
449350,0,"Just realized I said amazing a lot... Also, Kims Video at Christopher St is finally closing  Everything I touch is destroyed."
449400,0,"@beckym1985 i was thinking that to, i mean a mini bus full of people.....from what Rach says, loud people...perhaps not "
449450,0,"at home, trying to finish a very long assignment that is due tomorrow, so bored. I hate doing work "
449500,0,@amandapalmer link's a dud. youtube removed the vid. 
449550,0,@hellostephy damn bro me too 
449600,0,is on the quiet floor @ Club Ode cramming for finaaaals.. but I just wanna nap. 
449650,0,Plan to wear my SRC shirt tomorrow for the first day of registration.  JM did a wonderful Sneaks the Cat didn't he? 
449700,0,@jelrGREEN verrrrry suprised. &amp; Aww ok ok. Poor thing. 
449750,0,Urghh BNP have won a EU seat in Yorkshire 
449800,0,"Sad day. Photographer is sick, so family photos are cancelled for now  And we cleaned up so pretty."
449850,0,WOW! Today was Nah...  wish it was sunny!......... not a very cute day out side?..
449900,0,i was home all alone cuz my brother had ball hockey   but I had fun with my dog and cats &lt;33
449950,0,"I feel extremely nervous and somewhat offended, @joelyuk DAMN YOU "
450000,0,"@tommcfly you broke my heart saying this, even im brazilian one, im sure that you don't lose any fan, you're great "
450050,0,"Forgot my damned iPod, at the mercy of the bar pod all night. No after hours metal for me "
450100,0,@1908AppleSalmon oh nooo!  well congrats 2 mom!
450150,0,"@jervae I ate really wel, but didn't have any dessert. "
450200,0,Oh no  my libero volleyball clinic at Loyola is the same day The Academy Is... plays the DuPage County Fair! Aw man!!!
450250,0,@mdemuth They look white on my screen  Thanks anyway. It makes me afraid to start submitting proposals. Will I get gold stars or red ink?
450300,0,can i not go to work today? 
450350,0,"films due in 4 minutes! #48hfp screenings begin Tuesday evening. Hubby's shown Thursday night....  I can't see it, review for midterm then"
450400,0,is in a really bad mood  (U) i dont know what to do with myself xx
450450,0,Naiya's dog on her dad's side got put down yesterday. We and that dog had some memories...its so sad 
450500,0,God dammit 
450550,0,"You're Hired at its best tonight, so sad that Margaret is going  #Apprentice"
450600,0,"eff this nausea business. just gonna hang 2nite n watch movies with my dad,craig,&amp;peanut. love just layin around. boo bout my foot  ouch!"
450650,0,Praying i'll test negative for my Beta Strep Test tomorrow!! But i have a feeling it'll be positive 
450700,0,@houstonZrowe dont promise things you cant fulfil! 
450750,0,"ROFL. XD My whole family does, except for my little brother. I think that's even lamer that we resort to internet shopping than RL. "
450800,0,"Played Uncharted 2 beta earlier. @Zakupilot256, it was downloading/installing when you were online - you signed off when it loaded. "
450850,0,@lustforlife87 i kno how u feel son i think i lost my phone 
450900,0,Aww maa boo not feelin 2 well 
450950,0,"School tomorrow... 10 days, including weekends, until school ends. Awesome. I'll definitely miss alot of people though... "
451000,0,@Ms_Balla32 sorry  it was a great meet! Thanks for following...
451050,0,I seriously resent being British. Crappy country 
451100,0,@3vn that sounds terrible.  stupid facebook. I wanna see your pictures! Did j.c. give you my number?
451150,0,for reals sick 
451200,0,Kid iD's trumpeter/guitarist is leaving apparently and their MySpace blog says a replacement who can play the trumpet would be a &quot;bonus&quot; 
451250,0,...funds...ugh! 
451300,0,"@LegalCookie not really, want to cry "
451350,0,@LanceTamashiro which squeeze page dude ??  My Starting with marketing one ?? Whats up with it bro ?   lol
451400,0,Should I just take the classes and hope they transfer? BYU's Transfer Equivalencies sucks. 
451450,0,@tommcfly brazil is missing you 
451500,0,"@steveorrell 120,000 people voted BNP into the European Parliament "
451550,0,@Retrokid_ Are u gonna be making a new one 
451600,0,i wish i could stop watching tv and just do my homework. wishing i was camping with ashley and the crewww tonight but it cant happen 
451650,0,BBC about to carry London announcement... suggesting only one LibDem seat 
451700,0,It seems everyone has died. 
451750,0,Getting ready to head home to Hanford. Gonna be a long drive. 
451800,0,I should not have taken that benedryl 
451850,0,@wesstreeting LOL i never liked that woman! gutted about yorks 
451900,0,KFC...but it's not free. 
451950,0,right- getting a little peed aff  at @rustyrockets bumping us !! he aint been on in ages!!!   
452000,0,@greggarbo Dang...traffic school's the worst! It sucks your soul out for the better part of a day when you could be playing music. 
452050,0,@idiophone I am lost. Please help me find a good home. 
452100,0,"I could fall asleep sitting up right now. Been napping on and off today. Was getting sleepy while driving today, too.  How are you?"
452150,0,@josieeely I can't  no internet..
452200,0,@lancearmstrong http://twitpic.com/6vb49 - nope - i see nowt 
452250,0,@ronspigelman  you're announcing ahead of the webcast 
452300,0,I just spent the last three hours preparing to study now ill study for 100 hours 
452350,0,"-Neighbor has chainsaws going and is cutting down trees; I'm not a treehugger, but that's life they're cutting down. I don't like it. "
452400,0,@iammenina Maybe. ) Weird. I don't want to go to school yet! I won't get to tweet that much anymore  )
452450,0,Missed half of the Lost &amp; Found concert  Had to settle for youth picnic thing instead.
452500,0,stomach hurts again  PrinceCharming
452550,0,On my way to wrk wishin I was still home 
452600,0,@unbound1dot...I taught and you weren't there...this is me  love you mean it!
452650,0,Third night in a row I can't sleep  My entire body hurts.
452700,0,"@ganishgg shiiii, wish i saw this two hours ago. "
452750,0,I'm running out of Lucozade.  someone buy me some?
452800,0,well @dadadadara our friend Heather can't go out tonight 
452850,0,@angelface318 it got put with the big kid clothes and I spaced it off completely.  THANK YOU again! It's so awesome.
452900,0,@bubblegumgelato hey brylie! im fine.. u ya? im gettin fat :o tc ka man  ily and imy also 
452950,0,i dont know how my @responce from @jennettemccurdy deleted! sad. i was just gonna put it under favorites  tweet me!
453000,0,Math is something i cant stand. 
453050,0,was watching a movie and missed the opening of the tonys. my life is over. 
453100,0,@glamourous1 Sniff. Hack. Wheeze. Sure sorry to miss seeing you this morning 
453150,0,damnit!!! tryna get home for game 2!!! stuck n traffic! 
453200,0,@rjmahesh hahah i know my friend almost peer pressured me to watch it last night...  i get ridiculously scared of scary movies
453250,0,"@JessicaSimpson Plano, Richardson, Addison, Frisco, Irving, I miss those places in Dallas! "
453300,0,"No one was at the counter so I just walked out. suckers!  Already on 35 when I realized I'm going to vic, not cc "
453350,0,I'm bored at work! 
453400,0,@SimoneKali wen is da scream tour in nyc cuz ion think i'll b dere yet... 
453450,0,@itschristysmile demi ! i miss you tooooo  sushi soon &lt;3
453500,0,Still not sure how i feel about my job. Hopefully my first check will make me feel better 
453550,0,@SKILLETfan01 pretty much just seeing them live on Fuse is just bringing tears to my eyes! Leroy was my sax icon 
453600,0,@mandyxclear *pouts* I wanna watch Scooby Doo with you 
453650,0,I might have to go to the dentist tomorrow...I hate the dentist 
453700,0,Waiting for my sandwich while watching a lady sweep away a roach... 
453750,0,@Ganga108 oh! they reminded me of lily. I miss em. 
453800,0,"@ALECHABAN Yeah, OMG My FIRST celebrity Twitter! I'm getting your book foer inspiration. Heavy right now "
453850,0,"Long race day, going to jump off here for a while. Need to do dishes.  and other stuff that is not getting done for me."
453900,0,its boring in the train. just listening to music. i cant do anything coz i take an umbrella on the left hand 
453950,0,says ang tagal ng excel  http://plurk.com/p/z6e2m
454000,0,@zane_z11comm I agree 
454050,0,Miss my Cookie 
454100,0,@nkangel74 You are not on my facebook 
454150,0,"Heading home from costco, my weekend is for all intents over  have lots to do at home &amp; will wind down"
454200,0,Missing someone... 
454250,0,@octoberzombie I wish I were there!!!  Hope she feels better soon   Give her kisses for me!
454300,0,@oceanUP Miley I miss my uncle right now he's in Iraq fighting!  
454350,0,watching jonas it's almost over though 
454400,0,@IAMYUNGJOC whyyy??? tell us why??? omg. thats..... interesting. lol. and embarrasing! 
454450,0,@BIGWILLSMITH will y didn't u take me with you? 
454500,0,"There was &quot;a problem with my Twitter feed&quot;....I PANICKED!!!!   I know it told me not to, but I couldn't help it!  "
454550,0,Trying to play through every song on Guitar Hero 3 on expert. I hate the song Sunshine of Your Love. It's the worst. 
454600,0,@dancer4lifex  this sucks mann
454650,0,so close to keeping the BNP away from the north west 
454700,0,@Talialiaxoxo96 no i missed the episode 
454750,0,"one of the vets decided to keep the pirate chinchilla after they already asked me to adopt it, I bought a cage and everything, fuck  "
