Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-12-26 16:53:00,NON-CRIMINAL,FOUND PROPERTY,Friday,MISSION,NONE,800 Block of POTRERO AV,-122.406725329529,37.7585641691709
2011-03-25 20:33:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,NORTHERN,"ARREST, BOOKED",1000 Block of OFARRELL ST,-122.42201624386999,37.784594328547705
2012-09-19 22:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,400 Block of LARKIN ST,-122.41717581526,37.7819310783177
2012-11-02 22:41:00,WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2011-05-04 08:57:00,ASSAULT,BATTERY,Wednesday,TARAVAL,NONE,500 Block of RANDOLPH ST,-122.46755454771002,37.7143245782455
2008-08-20 18:50:00,FRAUD,DEFRAUDING AN INNKEEPER,Wednesday,CENTRAL,"ARREST, CITED",2200 Block of MASON ST,-122.41322559209,37.8041078088354
2011-06-19 20:00:00,MISSING PERSON,MISSING ADULT,Sunday,PARK,LOCATED,1200 Block of 2ND AV,-122.45884462618,37.7657830006945
2003-12-27 17:30:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Saturday,NORTHERN,NONE,200 Block of FELL ST,-122.42199472282101,37.77610654500671
2004-05-30 22:00:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Sunday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.407376463936,37.7799892619986
2003-10-05 07:45:00,WARRANTS,WARRANT ARREST,Sunday,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.412930522059,37.7838344374141
2012-02-26 06:50:00,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Sunday,BAYVIEW,NONE,0 Block of GEORGE CT,-122.382660660186,37.7308000998774
2004-09-04 16:20:00,WARRANTS,WARRANT ARREST,Saturday,TARAVAL,"ARREST, BOOKED",1900 Block of OCEAN AV,-122.46327895085699,37.7257598547537
2010-05-06 00:27:00,OTHER OFFENSES,RESISTING ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076
2004-05-11 14:42:00,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2006-09-19 15:51:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Tuesday,SOUTHERN,NONE,1100 Block of MARKET ST,-122.41232090743601,37.780764225439796
2010-02-28 01:20:00,ASSAULT,FALSE IMPRISONMENT,Sunday,CENTRAL,"ARREST, BOOKED",1200 Block of COLUMBUS AV,-122.417860754956,37.8055403898026
2012-05-05 00:15:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED",24TH ST / MISSION ST,-122.418448186101,37.7522391652625
2005-06-02 17:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Thursday,PARK,NONE,0 Block of WALTER ST,-122.43231121365,37.768376709168294
2006-10-06 00:02:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,NORTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,2400 Block of SACRAMENTO ST,-122.433800051784,37.7898100005704
2003-02-06 19:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,TARAVAL,NONE,100 Block of VICTORIA ST,-122.465362817213,37.7136151594856
2007-10-21 21:15:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Sunday,CENTRAL,"ARREST, CITED",POST ST / LARKIN ST,-122.41827417166,37.7870372043685
2012-05-01 23:03:00,NON-CRIMINAL,FOUND PROPERTY,Tuesday,BAYVIEW,NONE,UNIVERSITY ST / DWIGHT ST,-122.41197535466002,37.7214578846486
2013-05-28 17:56:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,TENDERLOIN,PSYCHOPATHIC CASE,500 Block of ELLIS ST,-122.414593411257,37.7845808066125
2011-04-04 09:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,TENDERLOIN,NONE,100 Block of HYDE ST,-122.415669661443,37.7821198488931
2007-10-17 20:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1100 Block of POST ST,-122.420775721444,37.78677548206471
2014-04-30 19:05:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758
2004-05-10 05:52:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Monday,BAYVIEW,NONE,400 Block of THORNTON AV,-122.397289049347,37.7313199830724
2014-06-10 11:49:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,MISSION,NONE,2000 Block of HARRISON ST,-122.413123030178,37.7647659461051
2003-08-08 00:01:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,MISSION,NONE,3600 Block of 18TH ST,-122.425577459237,37.761512605124395
2004-07-23 09:45:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,MISSION,"ARREST, BOOKED",SHOTWELL ST / 17TH ST,-122.416230392551,37.7636337703031
2007-10-05 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",Friday,NORTHERN,NONE,700 Block of VANNESS AV,-122.42083064884301,37.782166455064896
2011-11-06 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,CENTRAL,NONE,1400 Block of POWELL ST,-122.41029334341299,37.797914283164395
2008-07-09 18:59:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.412224164736,37.7820729312029
2004-11-12 05:45:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,NORTHERN,"ARREST, CITED",LARKIN ST / HEMLOCK ST,-122.418368839172,37.787486157204214
2014-08-22 11:00:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,PARK,NONE,1000 Block of HAYES ST,-122.433661492778,37.775465227763796
2005-12-04 17:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,MISSION,NONE,19TH ST / VALENCIA ST,-122.421426143003,37.760101797057
2014-08-10 17:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,800 Block of LARKIN ST,-122.417885441042,37.785437847196796
2004-08-16 17:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,NORTHERN,"ARREST, BOOKED",1700 Block of OFARRELL ST,-122.43355503388001,37.783240028248
2013-06-25 16:50:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2011-04-04 10:58:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of 5TH ST,-122.406760498327,37.782877264733294
2013-11-11 02:15:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,MISSION,JUVENILE CITED,600 Block of SOUTH VAN NESS AV,-122.41732318855101,37.762750021299894
2003-03-03 13:50:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,TENDERLOIN,COMPLAINANT REFUSES TO PROSECUTE,500 Block of GOLDEN GATE AV,-122.419650087061,37.7811793789368
2013-08-24 00:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,NORTHERN,NONE,1500 Block of CALIFORNIA ST,-122.41988857815399,37.790735381704394
2003-02-22 23:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,BAYVIEW,NONE,BARNEVELD AV / DORMAN AV,-122.40439438835101,37.7392489238671
2014-09-04 09:15:00,ASSAULT,STALKING,Thursday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413259498719,37.7829514828801
2011-02-10 13:21:00,ASSAULT,BATTERY,Thursday,SOUTHERN,NONE,300 Block of 2ND ST,-122.396251395987,37.7852582857699
2007-06-30 04:05:00,ARSON,ARSON OF AN INHABITED DWELLING,Saturday,BAYVIEW,NONE,100 Block of TOPEKA AV,-122.398951090192,37.7338473162583
2006-04-09 17:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,SOUTHERN,NONE,900 Block of HOWARD ST,-122.40650848700301,37.7803313209065
2015-02-03 13:14:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.41431785788099,37.7799444052046
2010-03-23 16:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-01-05 22:59:00,OTHER OFFENSES,RESISTING ARREST,Monday,SOUTHERN,"ARREST, BOOKED",300 Block of 3RD ST,-122.39769312856001,37.7827209261627
2010-04-21 11:28:00,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Wednesday,TARAVAL,NONE,0 Block of VERNON ST,-122.467920558288,37.7135950206736
2014-01-22 10:05:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",MISSION ST / BOSWORTH ST,-122.426391018521,37.7336749150104
2013-04-21 20:00:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,INGLESIDE,NONE,0 Block of NIAGARA AV,-122.442627054319,37.716246242905896
2009-03-17 10:25:00,FORGERY/COUNTERFEITING,"CHECKS, POSSESSION WITH INTENT TO PASS",Tuesday,TARAVAL,NONE,0 Block of WESTPORTAL AV,-122.46644858243799,37.7403329886376
2010-03-23 18:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668
2014-02-08 23:20:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,CENTRAL,"ARREST, CITED",600 Block of BROADWAY ST,-122.407822401083,37.7976687725776
2007-05-29 15:25:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
2012-11-29 12:35:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TENDERLOIN,NONE,0 Block of JONES ST,-122.41219255572099,37.781604574125204
2006-06-28 17:14:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",MANSELL ST / VISITACION AV,-122.41167412088,37.7187542939484
2003-07-10 01:30:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,NORTHERN,"ARREST, BOOKED",VAN NESS AV / MARKET ST,-122.419257894821,37.775146291630996
2010-07-28 19:10:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,SCOTT ST / CALIFORNIA ST,-122.438776395248,37.7882785898696
2011-02-09 00:01:00,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Wednesday,MISSION,"ARREST, CITED",20TH ST / CAPP ST,-122.41796448376002,37.7586968166489
2009-11-10 19:30:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Tuesday,BAYVIEW,NONE,900 Block of CONNECTICUT ST,-122.397089183868,37.753598788032704
2007-01-26 11:40:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,INGLESIDE,NONE,900 Block of ELLSWORTH ST,-122.416446124049,37.7329162539537
2009-05-03 01:26:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Sunday,MISSION,"ARREST, BOOKED",VALENCIA ST / 16TH ST,-122.421886357981,37.7649178909424
2011-06-29 11:05:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,INGLESIDE,NONE,5000 Block of MISSION ST,-122.440777706243,37.716880652494105
2010-04-08 08:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,TENDERLOIN,NONE,0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
2012-05-19 17:00:00,FRAUD,"FALSE PRETENSES, GRAND THEFT",Saturday,BAYVIEW,NONE,100 Block of MADDUX AV,-122.399369374067,37.7329977432317
2009-03-22 19:10:00,ASSAULT,BATTERY,Sunday,TENDERLOIN,NONE,300 Block of OFARRELL ST,-122.41050925879499,37.786043222299206
2014-08-18 09:00:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Monday,TARAVAL,NONE,2000 Block of 42ND AV,-122.500859638237,37.7484700842065
2014-04-30 21:10:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,TARAVAL ST / 21ST AV,-122.477834892704,37.7429561176381
2006-05-21 16:15:00,ASSAULT,THREATS AGAINST LIFE,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2005-09-24 20:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,SOUTHERN,NONE,MARKET ST / MCALLISTER ST,-122.41197948750099,37.780903969652904
2014-06-28 02:07:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,BAYVIEW,NONE,3RD ST / LASALLE AV,-122.389865610332,37.73716994462029
2007-02-24 15:38:00,OTHER OFFENSES,PAROLE VIOLATION,Saturday,TARAVAL,"ARREST, BOOKED",1500 Block of SLOAT BL,-122.489713969124,37.7339497680852
2012-05-16 23:59:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,NONE,1600 Block of MARKET ST,-122.42218826142599,37.7726948236861
2008-03-07 23:23:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2010-03-28 07:45:00,SUSPICIOUS OCC,"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED",Sunday,BAYVIEW,NONE,GIRARD ST / SILVER AV,-122.40657457093201,37.73214307751029
2008-06-14 18:55:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Saturday,TENDERLOIN,"ARREST, BOOKED",300 Block of GOLDEN GATE AV,-122.41635198735202,37.7816031438671
2013-08-05 00:31:00,OTHER OFFENSES,RESISTING ARREST,Monday,PARK,"ARREST, BOOKED",2400 Block of GEARY BL,-122.44364285254,37.7829183663086
2012-01-10 17:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,CENTRAL,NONE,0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863
2010-11-15 08:20:00,NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-06-09 16:20:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,CENTRAL,NONE,300 Block of BEACH ST,-122.41482231744301,37.8074314598723
2015-02-18 23:30:00,MISSING PERSON,MISSING ADULT,Wednesday,CENTRAL,EXCEPTIONAL CLEARANCE,100 Block of CALIFORNIA ST,-122.39819527270201,37.7933781865757
2013-08-11 12:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.434225174063,37.7911685255545
2003-09-21 20:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,RICHMOND,"ARREST, BOOKED",5400 Block of GEARY BL,-122.47777209017,37.7802849097527
2012-04-22 21:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,RICHMOND,NONE,700 Block of 25TH AV,-122.48446108774799,37.7753483777084
2007-11-17 04:01:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,PSYCHOPATHIC CASE,6TH ST / MARKET ST,-122.41029351969,37.7822305870036
2012-09-18 22:55:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,RICHMOND,NONE,LINCOLN WY / GREAT HY,-122.51033999219801,37.7640000597982
2007-11-30 08:30:00,MISSING PERSON,MISSING ADULT,Friday,BAYVIEW,LOCATED,1200 Block of EGBERT AV,-122.38980860845601,37.7211357013084
2011-02-10 12:15:00,NON-CRIMINAL,TURNED IN GUN,Thursday,TARAVAL,NONE,3700 Block of JUDAH ST,-122.502190456107,37.7606446338656
2013-04-17 12:40:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Wednesday,TENDERLOIN,NONE,100 Block of ELLIS ST,-122.408269031453,37.78538311057971
2014-01-23 18:31:00,WARRANTS,ENROUTE TO PROBATION OFFICER,Thursday,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / GOLDEN GATE AV,-122.413869632554,37.7818621883021
2014-05-03 00:25:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Saturday,INGLESIDE,NONE,100 Block of BLYTHDALE AV,-122.42055675144199,37.7108945814914
2006-01-10 17:26:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,PARK,"ARREST, CITED",DIVISADERO ST / HAYES ST,-122.437799703468,37.7749912944366
2004-10-29 10:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,SOUTHERN,"ARREST, CITED",9TH ST / MISSION ST,-122.414714295586,37.7762310404529
2010-05-03 10:31:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,PARK,"ARREST, BOOKED",BAKER ST / OAK ST,-122.440737118652,37.772712466017204
2012-04-18 18:28:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,NONE,900 Block of MARKET ST,-122.40970842372101,37.78282764988379
2004-05-26 11:29:00,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",Wednesday,MISSION,"ARREST, BOOKED",25TH ST / SHOTWELL ST,-122.41501468505501,37.7508363917485
2010-05-20 21:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,0 Block of LAFAYETTE ST,-122.417140617088,37.773019775318495
2009-05-13 16:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,"ARREST, CITED",LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071006
2014-07-10 13:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,PARK,NONE,1800 Block of GOLDEN GATE AV,-122.441044298253,37.77834925567209
2009-09-16 18:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,NONE,0 Block of DELANO AV,-122.44015982058399,37.727094319305
2015-02-06 14:59:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,INGLESIDE,NONE,200 Block of PARIS ST,-122.43259469429,37.724667032735894
2014-05-02 17:51:00,ASSAULT,THREATENING PHONE CALL(S),Friday,BAYVIEW,NONE,1700 Block of LASALLE AV,-122.391434800433,37.7381270935013
2004-05-10 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,HOWARD ST / LANGTON ST,-122.409924033753,37.7775530954996
2008-03-20 22:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE,200 Block of 2ND ST,-122.39701886181801,37.78571430485
2014-12-28 14:05:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,RICHMOND,PSYCHOPATHIC CASE,5500 Block of CALIFORNIA ST,-122.4769794149,37.7841915049205
2004-10-02 16:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE,BEACH ST / STOCKTON ST,-122.41069067586099,37.80789119057221
2006-12-12 16:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,INGLESIDE,NONE,5100 Block of MISSION ST,-122.440659593804,37.7168235156302
2010-03-25 16:00:00,ASSAULT,BATTERY,Thursday,SOUTHERN,NONE,MARKET ST / 7TH ST,-122.41251534135598,37.78047774805079
2010-05-22 10:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,SOUTHERN,NONE,600 Block of MISSION ST,-122.400218868349,37.7877523788601
2007-12-12 16:59:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,TARAVAL,"ARREST, BOOKED",700 Block of PLYMOUTH AV,-122.456021507066,37.717062396652295
2014-05-18 10:30:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,PARK,NONE,HAYES ST / PIERCE ST,-122.43448505565901,37.775416568770396
2003-10-16 18:29:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,INGLESIDE,PSYCHOPATHIC CASE,500 Block of MONTEREY BL,-122.44693611430701,37.7316505739565
2007-01-14 11:43:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",Sunday,RICHMOND,NONE,FULTON ST / 39TH AV,-122.49918185112301,37.7718841032344
2005-11-16 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,LAGUNA ST / CLEARY CT,-122.42778098874201,37.78392372014621
2015-02-04 13:25:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,RICHMOND,NONE,GEARY BL / 36TH AV,-122.496522518983,37.77954924917979
2005-08-10 21:40:00,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,NORTHERN,NONE,1000 Block of LARKIN ST,-122.41824964748,37.7872715205959
2008-05-30 23:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,NONE,TOWNSEND ST / 6TH ST,-122.399436466798,37.773574712191895
2009-11-28 15:00:00,MISSING PERSON,FOUND PERSON,Saturday,INGLESIDE,NONE,1500 Block of SUNNYDALE AV,-122.41714480239901,37.7121502932531
2007-08-08 07:10:00,MISSING PERSON,MISSING ADULT,Wednesday,SOUTHERN,LOCATED,0 Block of 6TH ST,-122.410041631816,37.78195365372571
2004-03-02 00:01:00,FRAUD,FRAUDULENT CREDIT APPLICATION,Tuesday,NORTHERN,NONE,1300 Block of EDDY ST,-122.429851024595,37.781798795606
2014-10-31 21:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE,25TH ST / KANSAS ST,-122.402315844375,37.7519622803065
2005-08-12 07:20:00,LARCENY/THEFT,GRAND THEFT PURSESNATCH,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-01-21 14:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Wednesday,TARAVAL,NONE,1800 Block of 25TH AV,-122.482764149891,37.75301021474
2009-09-06 13:45:00,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Sunday,SOUTHERN,"ARREST, BOOKED",BRADY ST / OTIS ST,-122.419672336594,37.7723019786801
2013-07-25 21:44:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,NORTHERN,"ARREST, CITED",VANNESS AV / GROVE ST,-122.41988493945699,37.77825108324121
2014-02-23 22:30:00,ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,CENTRAL,"ARREST, BOOKED",STOCKTON ST / PACIFIC AV,-122.408433097286,37.7967039278443
2008-03-08 21:50:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / JONES ST,-122.412970537591,37.78578837668879
2013-03-23 01:58:00,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Saturday,MISSION,"ARREST, CITED",20TH ST / CAPP ST,-122.41796448376002,37.7586968166489
2008-05-16 18:40:00,VEHICLE THEFT,STOLEN TRUCK,Friday,CENTRAL,UNFOUNDED,700 Block of NORTHPOINT ST,-122.419548468721,37.8057696388121
2008-12-10 12:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,NORTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,700 Block of 14TH ST,-122.430631050261,37.767573913800994
2007-12-01 13:15:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Saturday,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239
2007-04-02 17:27:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED",FITZGERALD AV / INGALLS ST,-122.391307417333,37.720975688806796
2012-09-06 18:28:00,SEX OFFENSES FORCIBLE,"CHILD ABUSE, PORNOGRAPHY",Thursday,TARAVAL,"ARREST, BOOKED",1200 Block of 10TH AV,-122.467378818122,37.7649185068359
2005-12-01 14:05:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,MISSION,NONE,3100 Block of 16TH ST,-122.423622537404,37.7647573853335
2006-10-06 12:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,SOUTHERN,NONE,100 Block of SPEAR ST,-122.393326499811,37.791873623989
2013-08-21 23:40:00,SEX OFFENSES FORCIBLE,"FORCIBLE RAPE, BODILY FORCE",Wednesday,NORTHERN,NONE,1500 Block of POLK ST,-122.420713728356,37.791054571840796
2006-12-14 14:50:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,CENTRAL,JUVENILE BOOKED,2100 Block of POWELL ST,-122.411607253459,37.8044472417935
2004-07-22 16:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,BAYVIEW,NONE,500 Block of BRUSSELS ST,-122.404896979926,37.7252880347135
2003-09-04 21:50:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Thursday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2014-09-07 16:45:00,ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,Sunday,RICHMOND,JUVENILE BOOKED,400 Block of 26TH AV,-122.48594422344,37.7809846139695
2015-02-20 21:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,FOLSOM ST / 4TH ST,-122.401161555602,37.7820238478975
2012-01-12 21:39:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED",3RD ST / GILMAN AV,-122.395622324587,37.7224336236684
2007-03-22 14:41:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,BAYVIEW,PSYCHOPATHIC CASE,1100 Block of HOLLISTER AV,-122.393411735551,37.7202363012033
2014-08-18 18:00:00,NON-CRIMINAL,LOST PROPERTY,Monday,TENDERLOIN,NONE,MASON ST / EDDY ST,-122.409313111431,37.784347851315104
2012-03-22 11:34:00,NON-CRIMINAL,"TRUANT, HABITUAL",Thursday,RICHMOND,JUVENILE CITED,500 Block of 29TH AV,-122.489012271756,37.7789096578094
